Emp_ID,EMP_SALARY,EMP_SAL_DIS_DATE,EMP_EXTRA_ALLOWANCE,EMP_SAL_DIS_AMT
EMP_01,5750,25-May-2022,575,6325
EMP_01,5750,25-Jun-2022,575,6325
EMP_01,5750,25-Apr-2022,575,6325
EMP_01,5750,25-Mar-2022,575,6325
EMP_01,5750,25-Feb-2022,575,6325
EMP_01,5750,25-Jan-2022,575,6325
EMP_02,5750,25-May-2022,575,6325
EMP_02,5750,25-Jun-2022,575,6325
EMP_02,5750,25-Apr-2022,575,6325
EMP_02,5750,25-Mar-2022,575,6325
EMP_02,5750,25-Feb-2022,575,6325
EMP_02,5750,25-Jan-2022,575,6325
EMP_03,5750,25-May-2022,575,6325
EMP_03,5750,25-Jun-2022,575,6325
EMP_03,5750,25-Apr-2022,575,6325
EMP_03,5750,25-Mar-2022,575,6325
EMP_03,5750,25-Feb-2022,575,6325
EMP_03,5750,25-Jan-2022,575,6325
EMP_11,4600,25-May-2022,460,5060
EMP_11,4600,25-Jun-2022,460,5060
EMP_11,4600,25-Apr-2022,460,5060
EMP_11,4600,25-Mar-2022,460,5060
EMP_11,4600,25-Feb-2022,460,5060
EMP_11,4600,25-Jan-2022,460,5060
EMP_12,4600,25-May-2022,460,5060
EMP_12,4600,25-Jun-2022,460,5060
EMP_12,4600,25-Apr-2022,460,5060
EMP_12,4600,25-Mar-2022,460,5060
EMP_12,4600,25-Feb-2022,460,5060
EMP_12,4600,25-Jan-2022,460,5060
EMP_13,4600,25-May-2022,460,5060
EMP_13,4600,25-Jun-2022,460,5060
EMP_13,4600,25-Apr-2022,460,5060
EMP_13,4600,25-Mar-2022,460,5060
EMP_13,4600,25-Feb-2022,460,5060
EMP_13,4600,25-Jan-2022,460,5060
EMP_21,8050,25-May-2022,805,8855
EMP_21,8050,25-Jun-2022,805,8855
EMP_21,8050,25-Apr-2022,805,8855
EMP_21,8050,25-Mar-2022,805,8855
EMP_21,8050,25-Feb-2022,805,8855
EMP_21,8050,25-Jan-2022,805,8855
EMP_22,8050,25-May-2022,805,8855
EMP_22,8050,25-Jun-2022,805,8855
EMP_22,8050,25-Apr-2022,805,8855
EMP_22,8050,25-Mar-2022,805,8855
EMP_22,8050,25-Feb-2022,805,8855
EMP_22,8050,25-Jan-2022,805,8855
EMP_23,8050,25-May-2022,805,8855
EMP_23,8050,25-Jun-2022,805,8855
EMP_23,8050,25-Apr-2022,805,8855
EMP_23,8050,25-Mar-2022,805,8855
EMP_23,8050,25-Feb-2022,805,8855
EMP_23,8050,25-Jan-2022,805,8855
EMP_31,13800,25-May-2022,1380,15180
EMP_31,13800,25-Jun-2022,1380,15180
EMP_31,13800,25-Apr-2022,1380,15180
EMP_31,13800,25-Mar-2022,1380,15180
EMP_31,13800,25-Feb-2022,1380,15180
EMP_31,13800,25-Jan-2022,1380,15180
EMP_32,13800,25-May-2022,1380,15180
EMP_32,13800,25-Jun-2022,1380,15180
EMP_32,13800,25-Apr-2022,1380,15180
EMP_32,13800,25-Mar-2022,1380,15180
EMP_32,13800,25-Feb-2022,1380,15180
EMP_32,13800,25-Jan-2022,1380,15180
EMP_33,13800,25-May-2022,1380,15180
EMP_33,13800,25-Jun-2022,1380,15180
EMP_33,13800,25-Apr-2022,1380,15180
EMP_33,13800,25-Mar-2022,1380,15180
EMP_33,13800,25-Feb-2022,1380,15180
EMP_33,13800,25-Jan-2022,1380,15180
